file,proposed_exercise,confidence,second_candidate,dup_group,note,final_exercise
"Дом/Болгарские выпады .mp4","Болгарские выпады","1","Болгарские выпады с гантелями","Болгарские выпады","дубль к Зал/03","skip"
"Дом/Болгарские выпады с резиной .mp4","Болгарские выпады с резиной","1","Болгарские выпады","Болгарские выпады с резиной","","Болгарские выпады с резиной"
"Дом/Выпады .mp4","Выпады","1","Болгарские выпады","","","Выпады"
"Дом/Мёртвый жук .mp4","Мёртвый жук","1","Обратная бабочка","","","Мёртвый жук"
"Дом/Обратная лодочка .mp4","Обратная лодочка","1","Обратная бабочка","","","Обратная лодочка"
"Дом/Отведение руки с резиной .mp4","Отведение руки с резиной","1","Приведение руки с резиной","","","Отведение руки с резиной"
"Дом/отведение согнутой ноги стоя в наклоне с резиной  .mp4","Отведение согнутой ноги стоя в наклоне с резиной","1","Тяга стоя в наклоне резины","Отведение согнутой ноги стоя в наклоне с резиной","","Отведение согнутой ноги стоя в наклоне с резиной"
"Дом/Отжимания от пола .mp4","Отжимания от пола","1","Скручивания лёжа на полу","","","Отжимания от пола"
"Дом/Приведение руки с резиной .mp4","Приведение руки с резиной","1","Отведение руки с резиной","","","Приведение руки с резиной"
"Дом/Приседания .mp4","Приседания","1","Приседания с резиной","Приседания","дубль к Зал/01 (дома без снаряда)","skip"
"Дом/Приседания с резиной .mp4","Приседания с резиной","1","Приседания","","","Приседания с резиной"
"Дом/Протяжка резины .mp4","Протяжка резины","1","Приседания с резиной","","","Протяжка резины"
"Дом/Складка .mp4","Складка","1","Разводка","Складка","дубль к Зал/015","skip"
"Дом/Скручивания лёжа на полу.mp4","Скручивания лёжа на полу","1","Тяга резины лёжа на полу","Скручивания лёжа на полу","дубль к Зал/016","skip"
"Дом/Спайдер.mp4","Спайдер","1","Трастеры","Спайдер","дубль к Зал/014","skip"
"Дом/тяга резины лёжа на полу .mp4","Тяга резины лёжа на полу","1","Скручивания лёжа на полу","","","Тяга резины лёжа на полу"
"Дом/Тяга резины сидя на полу .mp4","Тяга резины сидя на полу","1","Жим резины сидя","","","Тяга резины сидя на полу"
"Дом/тяга резины стоя в наклоне .mp4","Тяга стоя в наклоне резины","1","Тяга к поясу резины с упором рукой в наклоне","","","Тяга стоя в наклоне резины"
"Дом/Фроги.mp4","Фроги","1","Приседания","","","Фроги"
"Дом/Шаги в сторону с резиной на коленях .mp4","Шаги в сторону с резиной на коленях","1","Ягодичный мост на одной ноге с резиной (упор на стул/диван)","","","Шаги в сторону с резиной на коленях"
"Зал/010_Разводка.mp4","Разводка","1","Бабочка","","","Разводка"
"Зал/011_Жим гантелей сидя .mp4","Жим гантелей сидя","1","Жим резины сидя","","","Жим гантелей сидя"
"Зал/012_Махи гантелями стоя.mp4","Махи с гантелями стоя","1","Присед + мах гантелями вперёд","","","Махи с гантелями стоя"
"Зал/014_Спайдер.mp4","Спайдер","1","Трастеры","Спайдер","основной (студия)","Спайдер"
"Зал/015_Складка.mp4","Складка","1","Разводка","Складка","основной (студия)","Складка"
"Зал/016_Скручивания лёжа на полу.mp4","Скручивания лёжа на полу","1","Тяга резины лёжа на полу","Скручивания лёжа на полу","основной (студия)","Скручивания лёжа на полу"
"Зал/021_Присед мах гантелями вперед.mp4","Присед + мах гантелями вперёд","1","Махи с гантелями стоя","","","Присед + мах гантелями вперёд"
"Зал/023_Трастеры.mp4","Трастеры","1","Спайдер","","","Трастеры"
"Зал/024_Рывок гантели одной рукой.mp4","Рывок гантели одной рукой","1","Румынская тяга на одной ноге со штангой","","","Рывок гантели одной рукой"
"Зал/025_Выпад + прыжок .mp4","Выпад + прыжок","1","Выпады","","","Выпад + прыжок"
"Зал/027_Вращение корпуса сидя на ягодицах.mp4","Вращение корпуса сидя на ягодицах","1","Сгибание ног сидя/лёжа","Вращение корпуса сидя на ягодицах","основной (студия)","Вращение корпуса сидя на ягодицах"
"Зал/028_Отведение рук назад сидя в наклоне .mp4","Отведение рук назад сидя в наклоне","1","Отведение руки с резиной","","","Отведение рук назад сидя в наклоне"
"Зал/032_Тяга верхнего блока широким хватом.mp4","Тяга верхнего блока широким хватом","1","Тяга верхнего блока","","","Тяга верхнего блока широким хватом"
"Зал/035_Тяга горизонтальная к поясу по одной руке стоя в выпаде.mp4","Тяга горизонтальная к поясу по одной руке стоя в выпаде","1","Тяга верхнего блока с V-образной рукоятью","","","Тяга горизонтальная к поясу по одной руке стоя в выпаде"
"Зал/03_Болгарские выпады .mp4","Болгарские выпады","1","Болгарские выпады с гантелями","Болгарские выпады","основной (студия)","Болгарские выпады"
"Зал/044_Молитва в кроссовере.mp4","Молитва в кроссовере","1","Махи стоя в кроссовере","","","Молитва в кроссовере"
"Зал/047_Гиперэкстензия .mp4","Гиперэкстензия","1","Приседания","","","Гиперэкстензия"
"Зал/048_Обратная бабочка .mp4","Обратная бабочка","1","Обратная лодочка","","","Обратная бабочка"
"Зал/049_Бабочка.mp4","Бабочка","1","Обратная бабочка","","","Бабочка"
"Зал/050_Тяга нижнего блока с упором грудью.mp4","Тяга нижнего блока с упором грудью","1","Тяга нижнего блока с V-образной рукоятью сидя","Тяга нижнего блока с упором грудью","верный; 037 — другой (широким хватом), не дубль","Тяга нижнего блока с упором грудью"
"Зал/06_Зашагивание на тумбу.mp4","Зашагивание на тумбу","1","Разгибание рук (косичка)","","","Зашагивание на тумбу"
"Зал/07_Румынская тяга со штангой .mp4","Румынская тяга со штангой","1","Румынская тяга на одной ноге со штангой","","","Румынская тяга со штангой"
"Зал/08_Румынская тяга со штангой на одной ноге.mp4","Румынская тяга на одной ноге со штангой","1","Румынская тяга со штангой","","","Румынская тяга на одной ноге со штангой"
"Зал/09_Жим гантелей лежа на наклонной скамье.mp4","Жим гантелей лёжа на наклонной скамье","1","Тяга гантели в наклоне с опорой на скамью","","","Жим гантелей лёжа на наклонной скамье"
"Зал/026_Боковой выпад с подьемом гантели над головой.mp4","Боковой выпад с подъёмом гантели над головой","0.976","Выпад назад с гантелью в руке над головой","","","Боковой выпад с подъёмом гантели над головой"
"Зал/017_Доползанме до планки становимся на локти.mp4","Доползание до планки + становимся на локти","0.971","Доползание до планки + касание рукой противоположного плеча","","","Доползание до планки + становимся на локти"
"Дом/Вращения корпуса сидя на ягодицах .mp4","Вращение корпуса сидя на ягодицах","0.967","Сгибание ног сидя/лёжа","Вращение корпуса сидя на ягодицах","дубль к Зал/027","skip"
"Зал/045_Отведение бедер сидя в тренажере.mp4","Отведения бёдер сидя в тренажёре","0.967","Отведения бёдер сидя с резиной","","","Отведения бёдер сидя в тренажёре"
"Дом/отведение бедер сидя с резиной .mp4","Отведения бёдер сидя с резиной","0.964","Отведения бёдер сидя в тренажёре","","","Отведения бёдер сидя с резиной"
"Зал/030_Румынская тяга стоя на одной ноге с отведением второй ноги назад .mp4","Румынская стоя на одной ноге с отведением второй ноги назад","0.956","Румынская тяга на одной ноге отводя другую ногу назад с резиной","Румынская стоя на одной ноге с отведением второй ноги назад","основной (студия)","Румынская стоя на одной ноге с отведением второй ноги назад"
"Дом/Разгибания рук с резиной .mp4","Разгибание рук с резиной","0.955","Разгибание рук (косичка)","","","Разгибание рук с резиной"
"Дом/Сгибания рук с резиной.mp4","Сгибание рук с резиной","0.95","Приведение руки с резиной","","","Сгибание рук с резиной"
"Зал/031_Румынская тяга на одной ноге с упором другой ноги в стену.mp4","Румынская на одной ноге с упором другой ноги в стену","0.95","Румынская на одной ноге с упором другой ноги в стену с резиной","Румынская на одной ноге с упором другой ноги в стену","основной (студия)","Румынская на одной ноге с упором другой ноги в стену"
"Зал/036_Тяга нижнего блока сидя c V образной рукоятью.mp4","Тяга нижнего блока с V-образной рукоятью сидя","0.95","Тяга нижнего блока с упором грудью","","","Тяга нижнего блока с V-образной рукоятью сидя"
"Зал/029_Тяга гантели в наклоне с упором на скамью .mp4","Тяга гантели в наклоне с опорой на скамью","0.941","Тяга нижнего блока с упором грудью","","","Тяга гантели в наклоне с опорой на скамью"
"Зал/043_Махи в кроссовере по одной руке V образной рукоятью.mp4","Махи в кроссовере по одной руке V-образной рукояткой","0.936","Тяга верхнего блока с V-образной рукоятью","","","Махи в кроссовере по одной руке V-образной рукояткой"
"Дом/отведение согнутой ноги стоя в наклоне .mp4","Отведение согнутой ноги стоя в наклоне с резиной","0.933","Отведение руки с резиной","Отведение согнутой ноги стоя в наклоне с резиной","нет версии без резины; дубль к «…с резиной» (Дом) — skip","skip"
"Зал/033_Тяга верхнего блока с V образной рукояткой .mp4","Тяга верхнего блока с V-образной рукоятью","0.925","Тяга верхнего блока","","","Тяга верхнего блока с V-образной рукоятью"
"Зал/046_Сгибание ног сидя или лежа.mp4","Сгибание ног сидя/лёжа","0.92","Сгибание рук (косичка)","","","Сгибание ног сидя/лёжа"
"Зал/040_Разгибание рук с косичкой.mp4","Разгибание рук (косичка)","0.913","Разгибание рук с резиной","","","Разгибание рук (косичка)"
"Зал/041_Сгибание рук с косичкой.mp4","Сгибание рук (косичка)","0.905","Сгибание рук с резиной","","","Сгибание рук (косичка)"
"Дом/Махи ноги стоя.mp4","Махи ноги стоя с резиной","0.9","Махи с гантелями стоя","","Дом = резина, вероятно верно (в имени резина опущена)","Махи ноги стоя с резиной"
"Дом/выпады с резиной.mp4","Болгарские выпады с резиной","0.867","Выпады","Болгарские выпады с резиной","матч навесил 'Болгарские'; это простые выпады с резиной — ближайшее 'Выпады назад на месте с резиной'","Выпады назад на месте с резиной"
"Дом/Жим резины .mp4","Жим резины сидя","0.867","Протяжка резины","","матч навесил 'сидя' — проверь на видео сидя/стоя; если сидя, брать как есть","Жим резины сидя"
"Дом/Тяга к поясу резины с упором.mp4","Тяга к поясу резины с упором рукой в наклоне","0.867","Тяга резины лёжа на полу","","","Тяга к поясу резины с упором рукой в наклоне"
"Дом/ягодичный мост .mp4","Ягодичный мост со штангой","0.867","Ягодичный мост на одной ноге (упор на стул/диван)","Ягодичный мост со штангой","дубль к Зал/04 (дома без снаряда, каталог только «со штангой»)","skip"
