folder,file,cleaned,norm,match,score,runner_up,runner_up_score,tier
"Дом","Болгарские выпады .mp4","Болгарские выпады","болгарские выпады","Болгарские выпады","1","Болгарские выпады с гантелями","0.867","confident"
"Дом","Болгарские выпады с резиной .mp4","Болгарские выпады с резиной","болгарские выпады резиной","Болгарские выпады с резиной","1","Болгарские выпады","0.867","confident"
"Дом","Выпады .mp4","Выпады","выпады","Выпады","1","Болгарские выпады","0.8","confident"
"Дом","Мёртвый жук .mp4","Мёртвый жук","мертвый жук","Мёртвый жук","1","Обратная бабочка","0.25","confident"
"Дом","Обратная лодочка .mp4","Обратная лодочка","обратная лодочка","Обратная лодочка","1","Обратная бабочка","0.813","confident"
"Дом","Отведение руки с резиной .mp4","Отведение руки с резиной","отведение руки резиной","Отведение руки с резиной","1","Приведение руки с резиной","0.87","confident"
"Дом","отведение согнутой ноги стоя в наклоне с резиной  .mp4","отведение согнутой ноги стоя в наклоне с резиной","отведение согнутой ноги стоя наклоне резиной","Отведение согнутой ноги стоя в наклоне с резиной","1","Тяга стоя в наклоне резины","0.477","confident"
"Дом","Отжимания от пола .mp4","Отжимания от пола","отжимания пола","Отжимания от пола","1","Скручивания лёжа на полу","0.429","confident"
"Дом","Приведение руки с резиной .mp4","Приведение руки с резиной","приведение руки резиной","Приведение руки с резиной","1","Отведение руки с резиной","0.87","confident"
"Дом","Приседания .mp4","Приседания","приседания","Приседания","1","Приседания с резиной","0.8","confident"
"Дом","Приседания с резиной .mp4","Приседания с резиной","приседания резиной","Приседания с резиной","1","Приседания","0.8","confident"
"Дом","Протяжка резины .mp4","Протяжка резины","протяжка резины","Протяжка резины","1","Приседания с резиной","0.444","confident"
"Дом","Складка .mp4","Складка","складка","Складка","1","Разводка","0.375","confident"
"Дом","Скручивания лёжа на полу.mp4","Скручивания лёжа на полу","скручивания лежа полу","Скручивания лёжа на полу","1","Тяга резины лёжа на полу","0.476","confident"
"Дом","Спайдер.mp4","Спайдер","спайдер","Спайдер","1","Трастеры","0.375","confident"
"Дом","тяга резины лёжа на полу .mp4","тяга резины лёжа на полу","тяга резины лежа полу","Тяга резины лёжа на полу","1","Скручивания лёжа на полу","0.476","confident"
"Дом","Тяга резины сидя на полу .mp4","Тяга резины сидя на полу","тяга резины сидя полу","Тяга резины сидя на полу","1","Жим резины сидя","0.571","confident"
"Дом","тяга резины стоя в наклоне .mp4","тяга резины стоя в наклоне","тяга резины стоя наклоне","Тяга стоя в наклоне резины","1","Тяга к поясу резины с упором рукой в наклоне","0.553","confident"
"Дом","Фроги.mp4","Фроги","фроги","Фроги","1","Приседания","0.2","confident"
"Дом","Шаги в сторону с резиной на коленях .mp4","Шаги в сторону с резиной на коленях","шаги сторону резиной коленях","Шаги в сторону с резиной на коленях","1","Ягодичный мост на одной ноге с резиной (упор на стул/диван)","0.367","confident"
"Зал","010_Разводка.mp4","Разводка","разводка","Разводка","1","Бабочка","0.5","confident"
"Зал","011_Жим гантелей сидя .mp4","Жим гантелей сидя","жим гантелей сидя","Жим гантелей сидя","1","Жим резины сидя","0.529","confident"
"Зал","012_Махи гантелями стоя.mp4","Махи гантелями стоя","махи гантелями стоя","Махи с гантелями стоя","1","Присед + мах гантелями вперёд","0.481","confident"
"Зал","014_Спайдер.mp4","Спайдер","спайдер","Спайдер","1","Трастеры","0.375","confident"
"Зал","015_Складка.mp4","Складка","складка","Складка","1","Разводка","0.375","confident"
"Зал","016_Скручивания лёжа на полу.mp4","Скручивания лёжа на полу","скручивания лежа полу","Скручивания лёжа на полу","1","Тяга резины лёжа на полу","0.476","confident"
"Зал","021_Присед мах гантелями вперед.mp4","Присед мах гантелями вперед","присед мах гантелями вперед","Присед + мах гантелями вперёд","1","Махи с гантелями стоя","0.481","confident"
"Зал","023_Трастеры.mp4","Трастеры","трастеры","Трастеры","1","Спайдер","0.375","confident"
"Зал","024_Рывок гантели одной рукой.mp4","Рывок гантели одной рукой","рывок гантели одной рукой","Рывок гантели одной рукой","1","Румынская тяга на одной ноге со штангой","0.364","confident"
"Зал","025_Выпад + прыжок .mp4","Выпад + прыжок","выпад прыжок","Выпад + прыжок","1","Выпады","0.5","confident"
